cliCod;FisJur;age;tasaeol;tasaius;debaut;score
303112;PF;59   ;[>15 años];NULL;S;10.8
303147;PF;>=64 ;[>15 años];NULL;S;7.0
303170;PF;>=64 ;[>15 años];NULL;N;6.0
303177;PJ;ND   ;[>15 años];NULL;N;5.5
303196;PJ;ND   ;[>15 años];NULL;N;7.7
303310;PJ;ND   ;[>15 años];NULL;N;8.5
303312;PF;>=64 ;[>15 años];NULL;S;11.0
303331;PJ;ND   ;[>15 años];NULL;S;6.8
303414;PF;61   ;[15 años];NULL;S;9.5
303427;PJ;ND   ;[>15 años];[3 años];N;5.6
303428;PJ;ND   ;[>15 años];NULL;N;5.0
303460;PF;55   ;[>15 años];NULL;N;8.3
303480;PJ;ND   ;[>15 años];NULL;N;6.8
303483;PF;>=64 ;[>15 años];NULL;N;7.7
303494;PJ;ND   ;[>15 años];NULL;N;6.8
303501;PJ;ND   ;[>15 años];NULL;N;6.5
303517;PJ;ND   ;[>15 años];NULL;N;5.0
303522;PF;>=64 ;[>15 años];NULL;S;8.5
303543;PJ;ND   ;[>15 años];NULL;N;6.0
303593;PJ;ND   ;[>15 años];NULL;N;8.7
303622;PF;>=64 ;[>15 años];NULL;S;10.0
303654;PF;>=64 ;[>15 años];NULL;S;7.8
303666;PJ;ND   ;[>15 años];NULL;N;8.7
303690;PF;>=64 ;[>15 años];NULL;S;10.0
303703;PF;60   ;[>15 años];NULL;S;10.3
303712;PJ;ND   ;[>15 años];NULL;N;8.7
303770;PJ;ND   ;[>15 años];NULL;N;7.3
303774;PF;>=64 ;[>15 años];NULL;S;8.0
303829;PJ;ND   ;[>15 años];NULL;N;10.3
303939;PF;>=64 ;[>15 años];NULL;S;9.5
303950;PJ;ND   ;[>15 años];NULL;N;5.6
304028;PF;59   ;[>15 años];NULL;N;8.5
304079;PF;58   ;[>15 años];NULL;N;9.8
304101;PF;58   ;[>15 años];NULL;S;11.5
304124;PF;>=64 ;[>15 años];NULL;N;9.6
304355;PJ;ND   ;[>15 años];NULL;N;7.8
304401;PF;>=64 ;[>15 años];NULL;N;7.3
304482;PF;>=64 ;[>15 años];NULL;S;7.0
304483;PF;>=64 ;[>15 años];NULL;N;9.5
304666;PJ;ND   ;[>15 años];NULL;N;6.0
304681;PF;>=64 ;[>15 años];NULL;N;6.3
304699;PF;60   ;[>15 años];NULL;N;13.0
304760;PF;45   ;[>15 años];NULL;N;7.9
304958;PF;59   ;[>15 años];NULL;N;8.8
304990;PF;61   ;[>15 años];NULL;N;11.0
305000;PF;>=64 ;[>15 años];NULL;S;13.2
305094;PF;>=64 ;[>15 años];NULL;S;15.0
305138;PF;56   ;[>15 años];NULL;N;8.0
305168;PF;59   ;[>15 años];NULL;N;8.8
305171;PJ;ND   ;[>15 años];NULL;S;8.0
305208;PJ;ND   ;[>15 años];NULL;N;7.0
305240;PJ;ND   ;[>15 años];NULL;S;6.7
305375;PF;>=64 ;[>15 años];NULL;N;9.0
305383;PF;>=64 ;[>15 años];NULL;N;9.0
305396;PF;>=64 ;[>15 años];NULL;S;8.8
305419;PF;>=64 ;[>15 años];NULL;S;9.0
305535;PF;60   ;[>15 años];NULL;S;9.0
305568;PF;45   ;[>15 años];NULL;N;9.5
305578;PJ;ND   ;[>15 años];NULL;N;7.0
305655;PF;>=64 ;[>15 años];NULL;S;16.5
305673;PJ;ND   ;[>15 años];NULL;N;8.5
305682;PF;58   ;[>15 años];NULL;N;8.5
305786;PF;42   ;[>15 años];NULL;N;6.8
305855;PF;43   ;[>15 años];NULL;N;9.5
305895;PF;59   ;[>15 años];NULL;N;8.5
305950;PJ;ND   ;[>15 años];NULL;N;10.5
305962;PF;60   ;[>15 años];NULL;S;13.0
306008;PJ;ND   ;[>15 años];NULL;N;5.7
306011;PF;>=64 ;[>15 años];NULL;N;10.0
306019;PF;53   ;[>15 años];NULL;N;8.0
306097;PF;>=64 ;[>15 años];NULL;N;9.5
306153;PJ;ND   ;[>15 años];NULL;N;6.5
306179;PF;>=64 ;[>15 años];NULL;S;9.5
306210;PF;>=64 ;[>15 años];NULL;N;7.0
306216;PF;57   ;[>15 años];NULL;S;9.5
306230;PF;>=64 ;[>15 años];NULL;N;7.5
306245;PF;>=64 ;[>15 años];NULL;N;8.8
306283;PJ;ND   ;[>15 años];NULL;N;8.5
306377;PJ;ND   ;[>15 años];NULL;N;6.7
306383;PF;60   ;[>15 años];NULL;N;7.3
306488;PJ;ND   ;[>15 años];NULL;N;8.3
306496;PF;53   ;[>15 años];NULL;N;10.0
306573;PJ;ND   ;[>15 años];[10 años];N;8.3
306579;PF;49   ;[>15 años];NULL;N;8.5
306651;PJ;ND   ;[>15 años];NULL;N;8.8
306702;PJ;ND   ;[>15 años];NULL;N;8.8
306711;PJ;ND   ;[>15 años];NULL;N;6.0
306774;PF;>=64 ;[>15 años];NULL;N;9.0
306789;PJ;ND   ;[>15 años];NULL;N;6.7
306823;PJ;ND   ;[>15 años];NULL;N;6.2
306856;PF;>=64 ;[>15 años];NULL;N;11.5
306905;PF;>=64 ;[>15 años];NULL;N;7.3
306931;PF;>=64 ;[>15 años];NULL;N;6.5
306942;PF;>=64 ;[>15 años];NULL;S;8.0
306946;PJ;ND   ;[>15 años];NULL;N;8.5
306965;PF;>=64 ;[>15 años];NULL;N;8.7
306996;PF;>=64 ;[>15 años];NULL;N;8.8
307015;PJ;ND   ;[>15 años];NULL;S;7.5
307070;PF;28   ;[>15 años];NULL;N;8.0
307132;PF;60   ;[>15 años];NULL;N;10.7
307162;PF;56   ;[>15 años];NULL;N;9.0
307220;PJ;ND   ;[>15 años];NULL;N;8.5
307221;PF;58   ;[>15 años];NULL;N;12.3
307223;PJ;ND   ;[>15 años];NULL;N;6.0
307230;PF;52   ;[>15 años];NULL;N;9.5
307356;PF;54   ;[>15 años];NULL;N;8.2
307363;PF;53   ;[>15 años];NULL;N;8.2
307399;PF;56   ;[>15 años];NULL;S;11.5
307404;PF;61   ;[>15 años];NULL;S;9.8
307405;PJ;ND   ;[>15 años];NULL;N;8.5
307422;PJ;ND   ;[>15 años];NULL;N;6.9
