servicio,id
CONTABILIDAD Y ADMINISTRACION BASICA,150
COL BASICA INTEGRAL EOL2,151
COL MILENIO EOL 8,152
COL MILENIO EOL 6,153
DOCTRINA PENAL TRIBUTARIA Y ECO EOL 95,154
ENC LAB CLASICA EOL 3,155
ENC TRIB CLASICA EOL 5,156
COL ERREPAR CONSULTOR TRIBUTARIO EOL 2,157
COL PACK PRACT PROF PLUS,158
DOCTRINA PENAL TRIBUTARIA Y ECONOMICA2,159
ENC TRIB CLASICA EOL 10,160
COL MILENIO EOL 15,161
ENC LAB CLASICA PAPEL 6 T,162
ENC TRIB CLASICA EOL 6,163
COL ORO 3,164
ENC SOC CLASICA PAPEL 3 T3,165
ENC TRIB CLASICA EOL 100,166
COL BASICA INTEGRAL EOL 3,167
COL MI ERREPAR,168
DIGESTO PRACTICO LABORAL Y PREV EOL,169
COL LABORAL ANIVERSARIO 2,170
COL BASICA INTEGRAL PAPEL 3,171
ENC SOC CLASICA PAPEL  5 T,172
COL MILENIO EOL DEMO,173
ENC LAB CLASICA PAPEL  TYR A,174
ENC LAB CLASICA EOL 2,175
ERREIUS,176
DOCTRINA TRIBUTARIA EOL DEMO,177
ENC SOC Y CONC CLASICA EOL 2,178
COL PLATINO PLUS 3,179
ENC LAB CLASICA PAPEL  5 T  DP,180
ENC TRIB CLASICA PAPEL 13 TOMOS 3,181
ENC TRIB CLASICA PAPEL 13 T  IC 2,182
ERREIUS ON LINE,183
AGENDA IMP  REGPENAL TRIB IMPCOM,184
ENC LAB CLASICA EOL 4,185
COL LABORAL PROFESIONAL 2,186
ERREIUS LABORAL ON LINE,187
COL ERREPAR BUENOS AIRES EOL 15,188
IMPUESTOS PROVINCIALES 2 TOMOS 5,189
COL TRIBUTARIA PROFESIONAL 3,190
ERREIUS ON LINE 3,191
COL TRIBUTARIA ANIVERSARIO 5,192
DOCTRINA PENAL TRIBUTARIA Y ECO EOL 50,193
COL BASICA TRIBUTARIA EOL 5,194
ENC LAB CLASICA PAPEL 5 T 2,195
COL CONSULTOR TRIBUTARIO EOL 3,196
COL ORO 2,197
COL MILENIO EOL 10,198
COL ERREPAR BUENOS AIRES 10,199
COL ERREPAR BUENOS AIRES EOL 2,200
COL MILENIO EOL 95,201
COL MILENIO 6,202
COL BASICA TRIBUTARIA PAPEL 5,203
ENC SOC Y CONC CLASICA   2,204
PUBLIC TRIBUTACION AAEF,205
COL BASICA TRIBUTARIA EOL 3,206
COL ERREPAR CORDOBA EOL 10,207
ENC TRIB CLASICA EOL 50,208
COL TEMAS DE DERECHO LABORAL EOL 10,209
COL ERREPAR SANTA FE EOL 10,210
COL ERREPAR SANTA FE EOL 2,211
COL MILENIO 20,212
ERREIUS 20,213
ERREIUS ON LINE DEMO,214
COL TEMAS DE DERECHO LABORAL EOL 2,215
