behaviour,subtema
8461,53
8492,53
8510,53
8520,53
8562,53
8586,53
8594,53
8601,53
8615,53
8635,53
8648,52
8652,52
8695,52
8698,52
8700,52
8701,52
8702,52
8709,52
8722,52
8726,52
8732,52
8754,52
8763,52
8770,52
8779,52
8788,52
8792,52
8802,52
8804,52
8807,52
8829,52
8839,52
8840,52
8844,52
8853,52
8873,52
8874,52
8889,52
8891,52
8908,52
8931,52
8947,52
8953,52
8969,52
8976,52
8980,52
8988,52
9018,52
9066,52
9069,52
9075,52
9085,52
9102,52
9111,52
9112,52
9113,52
9123,52
9127,52
9129,52
9139,52
9144,52
9152,52
9158,52
9164,52
9168,52
9169,52
9170,52
9174,52
9176,52
9205,52
9211,52
9218,52
9225,52
9226,52
9231,52
9235,52
9254,52
9301,52
9303,52
9308,58
9310,58
9324,58
9334,58
9354,58
9361,58
9364,58
9367,58
9387,58
9408,58
9422,58
9428,58
9440,58
9451,58
9466,58
9469,58
9476,58
9478,58
9488,58
9489,58
9492,58
9494,58
9500,58
9503,58
9507,58
9511,58
9520,58
9536,58
9552,58
9568,58
9574,58
9581,58
9585,58
9592,58
9622,58
9627,58
9651,58
9652,58
9672,58
9679,58
9682,51
9703,51
9747,51
9776,51
9808,51
9849,51
9861,51
9902,51
9937,51
9970,51
9975,51
10000,76
10002,75
10005,51
10010,76
10020,76
10027,51
10030,76
10049,51
10070,76
10080,76
10086,51
10087,51
10090,76
10100,76
10130,51
10150,76
10160,76
10163,51
10170,76
10180,76
10184,51
10189,51
10190,76
10200,77
10210,77
10220,76
10240,76
10250,76
10251,51
10260,76
10270,76
10276,51
10280,76
10290,76
10294,51
10300,76
10302,51
10352,47
10400,76
10446,47
10487,47
10494,47
10500,76
10557,47
10598,47
10599,47
10600,76
10604,47
10674,47
10677,47
10700,76
10781,47
10794,47
10800,47
10836,47
10880,47
10931,47
10934,47
10968,47
11000,76
11010,76
11020,76
11030,76
11040,76
11048,47
11050,76
11052,47
11060,76
11063,47
11065,47
11067,47
11069,47
11070,76
11071,47
11072,47
11080,76
11083,48
11090,76
11094,48
11095,48
11108,48
11123,48
11135,48
11139,48
11158,48
11164,48
11192,48
11194,48
11211,48
11216,48
11217,48
11218,48
11220,48
11239,48
11241,48
11246,48
11259,48
11279,48
11308,48
11323,48
11328,48
11336,48
11341,48
11342,48
11345,48
11359,48
11366,48
11369,48
11371,48
11381,48
11395,48
11408,48
11414,48
11436,61
11451,61
11464,61
11478,61
11489,61
11503,61
11546,61
11557,61
11566,61
11567,61
11569,61
11580,61
11585,61
11589,61
11627,61
11635,61
11654,61
11669,61
11670,61
11689,61
11692,61
11711,61
11724,61
11781,61
11865,61
11918,61
11922,61
11924,61
11936,61
11938,61
11951,61
11956,61
11975,61
12001,82
12022,61
12023,61
12027,61
12030,61
12089,68
12223,68
12228,68
12238,68
12262,68
12287,68
12291,68
12294,68
12304,68
12309,68
12312,68
12327,68
12336,68
12340,68
12359,68
12360,68
12395,68
12414,68
12454,68
12465,68
12545,68
12576,68
12653,68
12695,68
12699,68
12702,68
12707,68
12716,68
12751,68
12762,68
12772,68
12773,68
12774,68
12789,68
12813,68
12817,68
12854,68
12859,68
12862,68
12953,68
12957,68
12958,68
12965,68
13042,68
13043,68
13053,68
13095,54
13099,54
13103,54
13104,54
13106,54
13117,54
13121,54
13137,54
13141,54
13160,54
13180,54
13185,54
13187,54
13210,54
13227,54
13238,54
13241,54
13264,54
13314,54
13341,54
13363,54
13831,56
13844,56
13847,56
13863,56
13871,56
13873,56
13893,56
13894,56
13913,56
13920,56
13927,56
13928,56
13945,56
14003,56
14008,56
14046,56
14069,56
14095,56
14111,56
14181,66
14237,66
14255,66
14297,66
14304,66
14344,66
14377,66
14432,66
14492,66
14493,66
14498,66
14526,66
14585,66
14586,66
14591,66
14592,66
14601,66
14768,63
14791,63
14904,63
14959,63
14978,63
14998,63
15041,63
15100,63
15156,63
15264,63
15265,63
15266,63
15304,63
15343,63
15381,63
15402,63
15442,63
15492,63
15718,62
15719,62
15723,62
15731,62
15736,62
15758,62
15761,62
15762,62
15771,62
15802,62
15887,62
15891,62
15899,62
15904,62
15908,62
15909,62
15925,62
15929,62
15936,62
15950,62
15952,62
15955,62
15964,62
15980,62
15991,62
16037,50
16038,50
16039,50
16042,50
16043,50
16045,50
16046,50
16047,50
16051,50
16052,50
16057,50
16058,50
16061,50
16062,50
16063,50
16067,50
16069,50
16070,50
16071,50
16072,50
16074,50
16079,50
16081,50
16082,50
16083,50
16084,50
16085,50
16086,50
16088,50
16089,50
16090,50
16092,50
16094,50
16095,50
16096,50
16097,50
16099,50
16100,50
16102,50
16103,50
16104,50
16106,50
16108,50
16110,50
16113,50
16114,50
16115,50
16116,50
16117,50
16118,50
16119,50
16120,50
16123,50
16124,50
16126,50
16127,50
16128,50
16131,50
16132,50
16133,50
16134,50
16135,50
16136,50
16137,50
16138,50
16139,50
16140,50
16141,50
16142,50
16143,50
16147,50
16148,50
16149,50
16150,50
16153,50
16157,50
16159,50
16160,50
16162,50
16164,50
16165,50
16166,50
16167,50
16169,50
16173,50
16174,50
16175,50
16178,50
16179,50
16180,50
16181,50
16182,50
16185,50
16186,50
16187,50
16189,50
16191,50
16193,50
16194,50
16195,50
16197,50
16204,50
16208,50
16209,50
16210,50
16211,50
16212,50
16213,50
16215,50
16216,50
16217,50
16219,50
16220,50
16222,50
16223,50
16224,50
16226,50
16227,50
16228,50
16229,50
16230,50
16231,50
16232,50
16233,50
16237,62
16238,50
16251,50
16253,50
16254,50
16255,50
16256,50
16257,50
16258,50
16262,50
16263,50
16264,50
16267,50
16268,50
16270,62
16274,50
16275,50
16277,50
16278,50
16280,50
16292,50
16294,50
16296,50
16297,50
16298,50
16299,50
16302,50
16303,50
16304,50
16306,50
16307,50
16308,50
16312,50
16317,50
16319,50
16321,50
16323,50
16325,50
16326,50
16327,50
16328,50
16329,50
16330,50
16331,50
16332,50
16333,50
16334,50
16335,50
16336,50
16353,102
16357,102
16359,102
16367,50
16369,50
16375,102
16376,102
16377,102
16380,102
16381,102
16388,60
16391,65
16398,54
16405,50
16406,50
16407,50
16408,50
16409,50
16410,50
16411,50
16412,50
16413,50
16422,102
16425,50
16429,62
16431,102
16432,102
16434,102
16435,102
16436,102
16437,102
16438,102
16439,102
16440,102
16441,102
16442,102
16443,50
16445,102
16446,102
16447,102
16448,102
16449,102
16450,102
16451,102
16452,102
16464,102
16465,102
16466,102
16467,102
16468,102
16469,102
16470,102
16471,102
16472,102
16473,102
16474,102
16475,102
16481,102
16483,102
16484,102
16486,102
16487,102
16488,102
16489,102
16490,102
16491,102
16492,102
16493,102
16494,102
16495,102
16496,102
16498,102
16499,102
16500,102
16502,102
16503,102
16504,102
16505,102
16506,102
16507,102
16508,102
16509,102
16510,102
16511,102
16512,102
16513,102
16514,102
16516,102
16522,102
16524,102
16525,102
16526,102
16527,102
16528,102
16529,102
16530,102
16531,102
16532,102
16533,102
16534,102
16535,102
16536,102
16537,102
16538,102
16539,102
16540,102
16546,102
16547,102
16548,102
16549,102
16550,102
16551,102
16552,102
16553,102
16554,102
16565,102
16566,102
16567,102
16568,102
16569,102
16570,102
16571,102
16572,102
16573,102
16574,102
16575,102
16576,102
16577,102
16579,102
16582,102
16588,102
16589,102
16590,102
16591,102
16592,102
16593,102
16594,102
16595,102
16598,68
16666,61
16947,57
17321,65
17503,51
17599,57
18001,73
18242,102
18254,102
18259,102
18264,102
18334,52
18501,48
18730,62
18879,62
19246,62
19730,51
20000,76
20290,57
20369,52
20449,57
20741,68
20819,56
20900,102
20949,65
20964,61
21000,78
21021,78
21042,78
21052,61
21063,78
21073,102
21074,102
21075,102
21140,61
21147,78
21168,78
21189,78
21190,61
21210,78
21247,61
21315,78
21328,63
21336,78
21357,78
21378,78
21399,78
21462,78
21476,58
21493,102
21504,78
21525,78
21546,78
21555,61
21567,78
21588,78
21609,78
21630,78
21722,102
21723,102
21724,102
21725,102
21726,102
21727,102
21728,102
21729,102
21840,78
21959,66
21962,66
22050,78
22080,66
22260,78
22428,68
22437,50
22470,78
22693,50
22991,50
23037,50
23045,50
23100,78
23121,78
23128,50
23142,78
23144,50
23163,78
23184,68
23205,78
23226,78
23239,50
23247,78
23268,78
23289,78
23367,54
23415,54
23428,54
23706,50
23716,50
23771,50
23796,50
23812,50
23817,50
24161,68
24224,50
24232,50
24250,50
24392,50
24751,50
24766,50
24784,50
24822,50
24841,102
24854,50
24861,50
24869,50
24920,50
24983,68
25163,50
25461,50
25488,50
25735,50
25738,50
25772,49
25773,102
25806,64
26120,50
26285,102
26286,64
26287,50
26303,50
26304,102
26305,102
26306,102
26307,102
26308,102
26309,102
26310,102
26311,102
26312,102
26313,102
26314,102
26315,102
26316,102
26317,50
26324,102
27000,73
27078,66
27448,66
27527,102
27531,102
27533,54
27535,102
27537,66
27540,102
27541,102
27542,50
30000,76
40000,76
42000,78
50000,76
60000,76
63000,78
70000,76
70010,76
70020,76
70030,76
70040,76
70050,76
75000,77
76000,76
76010,76
77000,76
80000,76
80010,76
80020,76
80030,76
80040,76
80050,76
84000,78
90000,76
90010,76
90020,76
90070,76
93000,76
95000,76
100000,115
100001,115
105000,78
113000,69
126000,78
147000,78
147021,78
147042,78
147063,78
147084,78
147105,78
159600,78
159621,78
161700,78
168000,78
168021,78
168042,78
168063,78
168084,78
168105,78
189000,78
189021,78
189042,78
189147,78
195300,78
199500,78
310000,115
328000,71
331000,75
331001,75
336000,75
336001,75
577001,69
602000,117
700001,59
700002,57
700003,102
700004,57
700005,102
700006,63
770002,75
770003,75
917001,81
966000,81
1772000,102
2905002,102
2905003,102
8332019,50
9999000,72
12090001,6
12090002,6
12090003,6
12090004,6
13090001,6
13090002,7
13090003,7
13090004,7
13090006,7
13090007,7
13090008,7
13090009,7
15080001,6
15080003,6
15080005,6
15080008,7
15080009,7
15080010,6
15080011,6
15080012,6
15080013,6
15080014,6
15080018,6
15080019,6
15080020,9
15080023,7
15080025,23
15080027,25
15080028,6
15080031,7
15080032,6
15080033,7
15080034,7
15080035,6
15080036,6
15080037,7
15080039,6
15080040,6
15080041,7
15080042,7
15080043,7
15080044,6
15080047,7
15080048,7
15080049,5
15080050,5
15080052,5
15080053,6
15080054,6
15080055,5
15080056,7
15080059,7
15080060,7
15080061,6
15080062,6
15080063,6
15080064,7
15080065,6
15080066,23
15080067,5
15080068,6
15080069,7
15080070,6
15080071,7
15080072,7
15080073,7
15150001,8
15150002,8
15150003,8
15150004,8
15150005,8
15150006,8
15150007,8
15150010,9
15150011,7
15150012,8
15150013,8
15150014,8
15150015,8
15150016,8
15150019,8
15150020,5
15150021,8
15150022,8
15150023,8
15150025,8
15150026,8
15150027,8
15150028,8
15150029,8
15150030,8
15150031,6
15150032,5
15150033,8
15150035,8
15150036,8
15150037,8
15150038,5
15150039,8
15150040,8
15150041,8
15150042,8
15150043,8
15150044,8
15150045,8
15150046,7
15150047,5
15150048,8
15150050,8
15150051,8
15150052,8
15150053,8
15150054,5
15150055,5
15150057,5
15150059,8
15150060,5
15150065,8
15150066,8
15150067,8
15150069,8
15150070,8
15150071,8
15150072,8
15150073,8
15150074,5
15150075,8
15150077,8
15150078,6
16110001,6
16110004,6
17090003,7
17090006,7
17090009,7
17090010,5
17090012,5
17090020,5
17090021,7
17090022,7
17090023,7
17090024,5
17090026,7
17090028,5
17090030,7
17090032,5
17090034,5
17090035,5
17090039,5
17090040,7
17090044,5
17090045,5
17090049,5
17090051,5
17090052,5
17090053,5
17090054,5
17090055,5
17090056,5
17090057,5
17090058,5
17090059,5
17090061,5
17090062,5
17090063,5
17090064,5
17090065,5
17090066,5
17090068,7
17090069,7
17090072,7
17090074,5
17090075,7
17090076,5
17090077,7
17090078,7
17090079,5
17090080,5
17090081,7
17090082,7
17090083,7
17090084,7
17090085,7
17090086,7
17090087,5
17090088,5
17090089,7
17090090,5
17090092,5
17090093,7
17090094,5
17090095,7
17090096,5
17090098,5
17090100,5
17090102,5
17140002,7
17140003,6
17140004,5
17140006,5
17140007,5
17140008,7
17140009,5
17140010,5
17140011,5
17140013,5
17140014,5
17140015,5
17140017,6
17140018,5
17140019,7
17140021,7
17140023,6
17140025,7
17140026,7
17140028,7
17140030,7
17140034,5
17140035,7
17140037,5
17140039,7
17140040,5
17140041,5
17140042,7
17140043,5
17140044,7
17140045,6
17140046,5
17140047,5
17140048,5
17160001,7
17160002,5
17160003,7
17160004,7
17160005,5
17160008,7
17160010,7
17160011,7
17160012,7
17160013,7
17160014,7
17160015,7
17160016,7
17160017,7
17160018,7
17160019,7
17160021,7
17160022,7
17160023,7
17160024,7
17160027,6
17170002,6
17170003,6
17170004,6
17170005,6
17170007,6
17170009,6
17170011,6
17170012,6
17170013,6
17180005,7
17180006,7
17180008,7
17180009,7
17180011,7
17180012,7
17180013,7
17180014,6
17180015,9
17180016,9
17180017,7
17180018,9
17180019,9
17180020,9
17180021,6
17180022,6
17190003,5
17210018,9
17230001,9
18090001,7
18090002,7
18090003,7
18090004,7
18090005,5
18090006,5
18090007,5
18090008,5
18090009,5
18090010,5
18090011,5
18090012,5
18090014,7
18090015,7
18090016,5
18090017,7
18090019,7
18090020,7
18090021,5
18090022,5
18090023,7
18090024,7
18090025,5
18140002,7
18140003,5
18140004,5
18140005,5
18140007,5
18140008,6
18140012,7
18140013,7
18140014,7
18140015,6
18140017,7
18160002,5
18160003,7
18160004,7
18170002,6
18170003,6
18170004,6
18170006,6
18170010,6
18180004,7
18180005,7
18180006,9
18190002,7
18190004,7
19130001,6
20090001,7
20090002,7
20090003,7
20090004,7
20090006,7
20090007,7
20090008,7
20090009,7
20090010,7
20090012,7
20090013,7
20090017,7
20090018,7
20090019,6
20090020,7
20090021,7
20090022,7
20090024,7
20090025,7
20140002,7
20140003,6
20140004,7
20140005,7
20140006,5
20140007,7
20140008,9
21220001,7
21220015,23
21220016,23
21220017,23
21220019,25
21220020,23
21220022,23
21220023,23
21220024,23
21220026,23
21220027,23
21220029,25
21220030,25
21220031,25
21220032,23
21220033,23
21220034,23
21220036,23
89216201,115
130900010,33
130900020,33
130900030,33
130900040,33
130900060,33
130900070,44
130900080,43
130900090,33
150800010,37
150800030,36
150800080,33
150800090,32
150800120,36
150800180,37
150800190,36
150800200,44
150800230,33
150800250,43
150800260,44
150800270,44
150800280,36
150800300,44
150800310,31
150800320,36
150800330,31
150800340,31
150800350,33
150800360,36
150800370,31
150800380,33
150800400,37
150800410,32
150800420,32
150800430,32
150800440,37
150800450,44
150800460,44
150800470,33
150800480,33
150800490,29
150800500,29
150800520,29
150800530,37
150800540,37
150800550,29
150800560,33
150800570,44
150800580,44
150800590,33
150800600,31
150800610,36
150800620,37
150800630,37
150800640,33
150800650,37
150800660,42
150800670,29
150800680,37
150800690,32
150800700,36
150800710,33
150800720,33
150800730,32
150800740,44
151500010,26
151500020,26
151500030,26
151500040,26
151500050,26
151500060,26
151500070,26
151500090,44
151500110,44
151500120,26
151500130,26
151500140,26
151500160,26
151500190,44
151500200,37
151500210,26
151500220,27
151500230,26
151500240,44
151500250,27
151500260,26
151500270,26
151500280,26
151500290,26
151500300,44
151500310,43
151500320,29
151500330,44
151500350,26
151500360,27
151500370,27
151500380,29
151500390,26
151500400,26
151500410,27
151500420,27
151500430,26
151500440,44
151500450,43
151500460,33
151500470,29
151500480,26
151500500,27
151500510,26
151500520,26
151500530,27
151500540,29
151500550,29
151500560,26
151500570,29
151500580,44
151500590,27
151500600,29
151500610,44
151500650,27
151500660,27
151500670,27
151500690,27
151500700,27
151500710,27
151500720,27
151500730,27
151500740,29
151500750,44
151500760,44
151500770,26
151500780,33
151500800,44
151500810,44
170900100,29
170900120,28
170900200,29
170900210,44
170900220,33
170900240,28
170900260,28
170900280,28
170900320,29
170900340,28
170900350,28
170900390,28
170900400,44
170900440,28
170900450,27
170900460,44
170900490,28
170900510,28
170900520,27
170900530,28
170900540,26
170900550,28
170900560,27
170900570,27
170900580,28
170900590,27
170900610,27
170900620,26
170900630,28
170900640,27
170900650,27
170900660,26
170900680,32
170900690,31
170900720,44
170900740,28
170900750,32
170900760,27
170900770,32
170900780,44
170900790,28
170900800,43
170900810,32
170900820,32
170900830,32
170900840,32
170900850,32
170900860,32
170900870,29
170900880,28
170900890,32
170900900,28
170900910,44
170900920,28
170900930,32
170900940,29
170900950,32
170900960,28
170900970,44
170900980,28
170900990,44
170901000,27
170901010,44
170901020,28
171400020,32
171400040,29
171400060,29
171400070,29
171400080,32
171400090,29
171400100,29
171400110,29
171400130,29
171400140,29
171400150,28
171400170,44
171400180,29
171400190,33
171400210,33
171400250,33
171400260,33
171400280,33
171400300,33
171400340,29
171400350,33
171400370,43
171400380,44
171400390,33
171400400,29
171400410,29
171400420,33
171400430,29
171400440,33
171400450,37
171400460,29
171400470,29
171400480,29
171400490,29
171600010,43
171600020,29
171600030,43
171600040,33
171600050,29
171600080,33
171600100,33
171600110,43
171600120,33
171600130,33
171600140,32
171600150,33
171600160,33
171600170,33
171600180,32
171600190,33
171600210,33
171600220,33
171600230,32
171600240,33
171600260,44
171600270,38
171700020,37
171700030,37
171700040,37
171700070,37
171700090,37
171700110,37
171700120,37
171700130,37
171700140,37
171800050,32
171800060,32
171800070,44
171800080,32
171800090,33
171800100,44
171800110,43
171800120,32
171800130,32
171800140,38
171800150,38
171800160,38
171800170,33
171800180,38
171800190,38
171800200,38
171800210,38
171800220,38
171900030,37
172300010,44
180900010,33
180900020,33
180900030,32
180900040,32
180900050,28
180900060,28
180900070,28
180900080,28
180900090,28
180900100,28
180900110,28
180900120,27
180900140,32
180900150,32
180900160,44
180900170,32
180900180,44
180900190,32
180900200,32
180900210,28
180900220,28
180900230,32
180900240,32
180900250,28
180900260,44
181400020,33
181400030,29
181400040,29
181400050,28
181400070,29
181400120,33
181400130,33
181400140,33
181400150,37
181400170,32
181600020,43
181600030,32
181600040,32
181700020,37
181700040,37
181700060,37
181700090,44
181700100,37
181700110,44
181800040,33
181800050,32
181800070,44
181900020,33
181900040,33
191300010,44
200900010,33
200900020,33
200900030,33
200900040,33
200900060,33
200900070,33
200900080,33
200900090,33
200900100,33
200900120,33
200900130,33
200900140,44
200900160,44
200900170,33
200900180,44
200900190,44
200900200,33
200900210,44
200900220,33
200900240,33
200900250,33
200900260,44
201400020,33
201400040,33
201400050,33
201400060,29
201400070,33
201400090,44
212200010,33
212200150,42
212200160,42
212200170,42
212200180,44
212200200,42
212200210,44
212200220,42
212200230,42
212200240,42
212200250,44
212200260,42
212200270,42
212200290,44
212200300,44
212200310,44
212200320,42
212200330,42
212200340,42
212200360,40
212200370,40
225307620,44
225307630,44
225307650,44
999999990,76
2099999979,78
100013,129
100016,129
100029,129
100018,130
100015,129
100053,129
100012,129
100057,129
100098,129
100019,130
100020,130
100021,130
100095,130
100022,130
100023,130
100025,130
100072,130
100026,130
100024,130
100063,129
100014,129
100031,129
100032,129
100096,129
100035,129
100008,129
100017,129
100034,129
100001,129
100010,130
100006,129
100066,129
100036,129
100037,129
100005,129
100054,129
100011,129
100093,129
89000,121
89001,121
89002,121
89003,121
89010,122
89011,122
89012,122
89013,122
89014,122
89015,123
89016,123
89017,123
89018,123
89019,123
89020,124
89021,124
89022,124
89023,124
89024,124
89025,125
89026,125
89027,125
89028,125
89029,125
89030,126
89031,126
89032,126
89033,126
89034,126
89035,127
89036,127
89037,127
89038,127
89039,127
89040,128
89041,128
89042,128
89043,128
89044,128
